gene	background	synapse
Abl1	True	False
Abl2	True	False
Ablim1	True	False
Ablim2	True	False
Ablim3	True	False
Abo	True	False
Abr	True	False
Abra	True	False
Abracl	True	False
Abraxas1	True	False
Abraxas2	True	False
Abt1	True	False
Abtb1	True	False
Abtb2	True	False
Abtb3	True	False
Acaa1a	True	False
Acaa1b	True	False
Acaa2	True	False
Acaca	True	False
Acacb	True	False
Acad10	True	False
Acad11	True	False
Acad12	True	False
Acad8	True	False
Acad9	True	False
Acadl	True	False
Acadm	True	False
Acads	True	False
Acadsb	True	False
Acadvl	True	False
Acan	True	False
Acap1	True	False
Acap2	True	False
Acap3	True	False
Acat1	True	False
Acat2	True	False
Acat3	True	False
Acbd3	True	False
Acbd4	True	False
Acbd5	True	False
Acbd6	True	False
Acbd7	True	False
Accs	True	False
Accsl	True	False
Acd	True	False
Ace	True	False
Ace2	True	False
Acer1	True	False
Acer2	True	False
Acer3	True	False
Ache	True	False
Acin1	True	False
Ackr1	True	False
Ackr2	True	False
Ackr3	True	False
Ackr4	True	False
Acly	True	False
Acmsd	True	False
Acnat1	True	False
Acnat2	True	False
Aco1	True	False
Aco2	True	False
Acod1	True	False
Acot1	True	False
Acot10	True	False
Acot11	True	False
Acot12	True	False
Acot13	True	False
Acot2	True	False
Acot3	True	False
Acot4	True	False
Acot5	True	False
Acot6	True	False
Acot7	True	False
Acot8	True	False
Acot9	True	False
Acox1	True	False
Acox2	True	False
Acox3	True	False
Acoxl	True	False
Acp1	True	False
Acp2	True	False
Acp4	True	False
Acp5	True	False
Acp6	True	False
Acp7	True	False
Acpp	True	False
Acr	True	False
Acrbp	True	False
Acrv1	True	False
Acsbg1	True	False
Acsbg2	True	False
Acsf2	True	False
Acsf3	True	False
Acsl1	True	False
Acsl3	True	False
Acsl4	True	False
Acsl5	True	False
Acsl6	True	False
Acsm1	True	False
Acsm2	True	False
Acsm3	True	False
Acsm4	True	False
Acsm5	True	False
Acss1	True	False
Acss2	True	False
Acss3	True	False
Acta1	True	False
Acta2	True	False
Actbl2	True	False
Actc1	True	False
Acte1	True	False
Actg1	True	False
Actg2	True	False
Actl10	True	False
Actl11	True	False
Actl6a	True	False
Actl6b	True	False
Actl7a	True	False
Actl7b	True	False
Actl9	True	False
Actn1	True	False
Actn2	True	False
Actn3	True	False
Actn4	True	False
Actr10	True	False
Actr1a	True	False
Actr1b	True	False
Actr2	True	False
Actr3	True	False
Actr3b	True	False
Actr5	True	False
Actr6	True	False
Actr8	True	False
Actrt1	True	False
Actrt2	True	False
Actrt3	True	False
Acvr1	True	False
Acvr1b	True	False
Acvr1c	True	False
Acvr2a	True	False
Acvr2b	True	False
Acvrl1	True	False
Acy1	True	False
Acy3	True	False
Acyp1	True	False
Acyp2	True	False
Ada	True	False
Adad1	True	False
Adad2	True	False
Adal	True	False
Adam10	True	False
Adam11	True	False
Adam12	True	False
Adam15	True	False
Adam17	True	False
Adam18	True	False
Adam19	True	False
Adam1a	True	False
Adam1b	True	False
Adam2	True	False
Adam20	True	False
Adam21	True	False
Adam22	True	False
Adam23	True	False
Adam24	True	False
Adam25	True	False
Adam26a	True	False
Adam26b	True	False
Adam28	True	False
Adam29	True	False
Adam3	True	False
Adam30	True	False
Adam32	True	False
Adam33	True	False
Adam34	True	False
Adam39	True	False
Adam4	True	False
Adam5	True	False
Adam6a	True	False
Adam6b	True	False
Adam7	True	False
Adam8	True	False
Adam9	True	False
Adamdec1	True	False
Adamts1	True	False
Adamts10	True	False
Adamts12	True	False
Adamts14	True	False
Adamts15	True	False
Adamts16	True	False
Adamts17	True	False
Adamts18	True	False
Adamts19	True	False
Adamts2	True	False
Adamts20	True	False
Adamts3	True	False
Adamts4	True	False
Adamts5	True	False
Adamts6	True	False
Adamts7	True	False
Adamts8	True	False
Adamts9	True	False
Adamtsl1	True	False
Adamtsl2	True	False
Adamtsl3	True	False
Adamtsl4	True	False
Adamtsl5	True	False
Adap1	True	False
Adap2	True	False
Adar	True	False
Adarb1	False	False
Adarb2	True	False
Adat1	True	False
Adat2	True	False
Adat3	True	False
Adck1	True	False
Adck2	True	False
Adck5	True	False
Adcy1	True	False
Adcy10	True	False
Adcy2	True	False
Adcy3	True	False
Adcy4	True	False
Adcy5	True	False
Adcy6	True	False
Adcy7	True	False
Adcy8	True	False
Adcy9	True	False
Adcyap1	True	False
Adcyap1r1	True	False
Add1	True	False
Add2	True	False
Add3	True	False
Adgb	True	False
Adgra1	True	False
Adgra2	True	False
Adgra3	True	False
Adgrb1	True	False
Adgrb2	True	False
Adgrb3	True	False
Adgrd1	True	False
Adgre1	True	False
Adgre4	True	False
Adgre5	True	False
Adgrf1	True	False
Adgrf2	True	False
Adgrf3	True	False
Adgrf4	True	False
Adgrf5	True	False
Adgrg1	True	False
Adgrg2	True	False
Adgrg3	True	False
Adgrg4	True	False
Adgrg5	True	False
Adgrg6	True	False
Adgrg7	True	False
Adgrl1	True	False
Adgrl2	True	False
Adgrl3	True	False
Adgrl4	True	False
Adgrv1	True	False
Adh1	True	False
Adh4	True	False
Adh5	True	False
Adh6a	True	False
Adh6b	True	False
Adh7	True	False
Adhfe1	True	False
Adi1	True	False
Adig	True	False
Adipoq	True	False
Adipor1	True	False
Adipor2	True	False
Adk	True	False
Adm	True	False
Adm2	True	False
Adnp	True	False
Adnp2	True	False
Ado	True	False
Adora1	True	False
Adora2a	True	False
Adora2b	True	False
Adora3	True	False
Adpgk	True	False
Adprh	True	False
Adprhl1	True	False
Adprm	True	False
Adprs	True	False
Adra1a	True	False
Adra1b	True	False
Adra2a	True	False
Adra2b	True	False
Adra2c	True	False
Adrb1	True	False
Adrb2	True	False
Adrb3	True	False
Adrm1	True	False
Adsl	True	False
Adss	True	False
Adssl1	True	False
Adtrp	True	False
Aebp1	True	False
Aebp2	True	False
Aen	True	False
Afap1	True	False
Afap1l1	True	False
Afap1l2	True	False
Afdn	True	False
Aff1	True	False
Aff2	True	False
Aff3	True	False
Aff4	True	False
Afg1l	True	False
Afg3l1	True	False
Afg3l2	True	False
Afm	True	False
Afmid	True	False
Afp	True	False
Aftph	True	False
Aga	True	False
Agap1	True	False
Agap2	True	False
Agap3	True	False
Agbl1	True	False
Agbl2	True	False
Agbl3	True	False
Agbl4	True	False
Agbl5	True	False
Ager	True	False
Agfg1	True	False
Agfg2	True	False
Aggf1	True	False
Agk	True	False
Agl	True	False
Agmat	True	False
Agmo	True	False
Ago1	True	False
Ago2	True	False
Ago3	True	False
Ago4	True	False
Agpat1	True	False
Agpat2	True	False
Agpat3	True	False
Agpat4	True	False
Agpat5	True	False
Agps	True	False
Agr2	True	False
Agr3	True	False
Agrn	True	False
Agrp	True	False
Agt	True	False
Agtpbp1	True	False
Agtr1a	True	False
Agtr1b	True	False
Agtr2	True	False
Agtrap	True	False
Agxt	True	False
Agxt2	True	False
Ahctf1	True	False
Ahcy	True	False
Ahcyl1	True	False
Ahcyl2	True	False
Ahdc1	True	False
Ahi1	True	False
Ahnak	True	False
Ahnak2	True	False
Ahr	True	False
Ahrr	True	False
Ahsa1	True	False
Ahsa2	True	False
Ahsg	True	False
Aicda	True	False
Aida	True	False
Aif1	True	False
Aif1l	True	False
Aifm1	True	False
Aifm2	True	False
Aifm3	True	False
Aig1	True	False
Aim2	True	False
Aimp1	True	False
Aimp2	True	False
Aip	True	False
Aipl1	True	False
Aire	True	False
Ajap1	True	False
Ajm1	True	False
Ajuba	True	False
Ak1	True	False
Ak2	True	False
Ak3	True	False
Ak4	True	False
Ak5	True	False
Ak6	True	False
Ak7	True	False
Ak8	True	False
Ak9	True	False
Akain1	True	False
Akap1	True	False
Akap10	True	False
Akap11	True	False
Akap12	True	False
Akap13	True	False
Akap14	True	False
Akap17b	True	False
Akap3	True	False
Akap4	True	False
Akap5	True	False
Akap6	True	False
Akap7	True	False
Akap8	True	False
Akap8l	True	False
Akap9	True	False
Akip1	True	False
Akirin1	True	False
Akirin2	True	False
Akna	True	False
Aknad1	True	False
Akp3	True	False
Akr1a1	True	False
Akr1b10	True	False
Akr1b3	True	False
Akr1b7	True	False
Akr1b8	True	False
Akr1c12	True	False
Akr1c13	True	False
Akr1c14	True	False
Akr1c18	True	False
Akr1c19	True	False
Akr1c20	True	False
Akr1c21	True	False
Akr1c6	True	False
Akr1cl	True	False
Akr1d1	True	False
Akr1e1	True	False
Akr7a5	True	False
Akt1	True	False
Akt1s1	True	False
Akt2	True	False
Akt3	True	False
Aktip	True	False
Alad	True	False
Alas1	True	False
Alas2	True	False
Alb	True	False
Albfm1	True	False
Alcam	True	False
Aldh16a1	True	False
Aldh18a1	True	False
Aldh1a1	True	False
Aldh1a2	True	False
Aldh1a3	True	False
Aldh1a7	True	False
Aldh1b1	True	False
Aldh1l1	True	False
Aldh1l2	True	False
Aldh2	False	True
Aldh3a1	True	False
Aldh3a2	True	False
Aldh3b1	True	False
Aldh3b2	True	False
Aldh3b3	True	False
Aldh4a1	True	False
Aldh5a1	False	True
Aldh6a1	True	False
Aldh7a1	True	False
Aldh8a1	True	False
Aldh9a1	True	False
Aldoa	True	False
Aldoa-1	True	False
Aldoart1	True	False
Aldoart2	True	False
Aldob	True	False
Aldoc	True	False
Alg1	True	False
Alg10b	True	False
Alg11	True	False
Alg12	True	False
Alg13	True	False
Alg14	True	False
Alg2	True	False
Alg3	True	False
Alg5	True	False
Alg6	True	False
Alg8	True	False
Alg9	True	False
Alk	True	False
Alkal1	True	False
Alkal2	True	False
Alkbh1	True	False
Alkbh2	True	False
Alkbh3	True	False
Alkbh4	True	False
Alkbh5	True	False
Alkbh6	True	False
Alkbh7	True	False
Alkbh8	True	False
Allc	True	False
Alms1	True	False
Alox12	True	False
Alox12b	True	False
Alox12e	True	False
Alox15	True	False
Alox5	True	False
Alox5ap	True	False
Aloxe3	True	False
Alpi	True	False
Alpk1	True	False
Alpk3	True	False
Alpl	True	False
Alppl2	True	False
Als2	True	False
Als2cl	True	False
Alx1	True	False
Alx3	True	False
Alx4	True	False
Alyref	True	False
Alyref2	True	False
Amacr	True	False
Ambn	True	False
Ambp	True	False
Ambra1	True	False
Amd2	True	False
Amdhd1	True	False
Amdhd2	True	False
Amelx	True	False
Amer1	True	False
Amer2	True	False
Amer3	True	False
Amfr	False	False
Amh	True	False
Amhr2	True	False
Amigo1	True	False
Amigo2	True	False
Amigo3	True	False
Ammecr1	True	False
Ammecr1l	True	False
Amn	True	False
Amn1	True	False
Amot	True	False
Amotl1	True	False
Amotl2	True	False
Ampd1	True	False
Ampd2	True	False
Ampd3	True	False
Amph	True	False
Amt	True	False
Amtn	True	False
Amy1	True	False
Amy2a5	True	False
Amz1	True	False
Amz2	True	False
Anapc1	True	False
Anapc10	True	False
Anapc11	True	False
Anapc13	True	False
Anapc15-ps	True	False
Anapc16	True	False
Anapc2	True	False
Anapc4	True	False
Anapc5	True	False
Anapc7	True	False
Ang	True	False
Ang2	True	False
Ang4	True	False
Ang5	True	False
Ang6	True	False
Angel1	True	False
Angel2	True	False
Angpt1	True	False
Angpt2	True	False
Angpt4	True	False
Angptl1	True	False
Angptl2	True	False
Angptl3	True	False
Angptl4	True	False
Angptl6	True	False
Angptl7	True	False
Angptl8	True	False
Ank	True	False
Ank1	True	False
Ank2	True	False
Ank3	True	False
Ankar	True	False
Ankdd1a	True	False
Ankdd1b	True	False
Ankef1	True	False
Ankfn1	True	False
Ankfy1	True	False
Ankhd1	True	False
Ankib1	True	False
Ankk1	True	False
Ankle1	True	False
Ankle2	True	False
Ankmy2	True	False
Ankra2	True	False
Ankrd1	True	False
Ankrd10	True	False
Ankrd11	True	False
Ankrd12	True	False
Ankrd13a	True	False
Ankrd13b	True	False
Ankrd13c	True	False
Ankrd13d	True	False
Ankrd16	True	False
Ankrd17	True	False
Ankrd2	True	False
Ankrd22	True	False
Ankrd23	True	False
Ankrd24	True	False
Ankrd26	True	False
Ankrd27	True	False
Ankrd28	True	False
Ankrd29	True	False
Ankrd31	True	False
Ankrd33	True	False
Ankrd33b	True	False
Ankrd34a	True	False
Ankrd34b	True	False
Ankrd34c	True	False
Ankrd35	True	False
Ankrd36	True	False
Ankrd37	True	False
Ankrd39	True	False
Ankrd40	True	False
Ankrd42	True	False
Ankrd44	True	False
Ankrd45	True	False
Ankrd46	True	False
Ankrd49	True	False
Ankrd50	True	False
Ankrd52	True	False
Ankrd53	True	False
Ankrd54	True	False
Ankrd55	True	False
Ankrd6	True	False
Ankrd60	True	False
Ankrd61	True	False
Ankrd63	True	False
Ankrd65	True	False
Ankrd66	True	False
Ankrd7	True	False
Ankrd9	True	False
Anks1	True	False
Anks3	True	False
Anks4b	True	False
Anks6	True	False
Ankub1	True	False
Ankzf1	True	False
Anln	True	False
Ano1	True	False
Ano10	True	False
Ano2	True	False
Ano3	True	False
Ano4	True	False
Ano5	True	False
Ano6	True	False
Ano7	True	False
Ano8	True	False
Ano9	True	False
Anp32a	True	False
Anp32b	True	False
Anp32e	True	False
Anpep	True	False
Antkmt	True	False
Antxr1	True	False
Antxr2	True	False
Antxrl	True	False
Anxa1	True	False
Anxa10	True	False
Anxa11	True	False
Anxa2	True	False
Anxa3	True	False
Anxa4	True	False
Anxa5	True	False
Anxa6	True	False
Anxa7	True	False
Anxa8	True	False
Anxa9	True	False
Aoah	True	False
Aoc1	True	False
Aoc1l1	True	False
Aoc1l2	True	False
Aoc1l3	True	False
Aoc2	True	False
Aoc3	True	False
Aopep	True	False
Aox1	True	False
Aox2	True	False
Aox3	True	False
Aox4	True	False
Ap1ar	True	False
Ap1b1	True	False
Ap1g1	True	False
Ap1g2	True	False
Ap1m1	True	False
Ap1m2	True	False
Ap1s1	True	False
Ap1s2	True	False
Ap1s3	True	False
Ap2a1	False	True
Ap2a2	False	True
Ap2b1	False	True
Ap2m1	False	True
Ap2s1	True	False
Ap3b1	True	False
Ap3b2	True	False
Ap3d1	True	False
Ap3m1	True	False
Ap3m2	True	False
Ap3s1	True	False
Ap3s2	True	False
Ap4b1	True	False
Ap4e1	True	False
Ap4m1	True	False
Ap4s1	False	False
Ap5b1	True	False
Ap5m1	True	False
Ap5s1	True	False
Ap5z1	True	False
Apaf1	True	False
Apba1	True	False
Apba2	True	False
Apba3	True	False
Apbb1	True	False
Apbb1ip	True	False
Apbb2	True	False
Apbb3	True	False
Apc	True	False
Apc2	True	False
Apcdd1	True	False
Apcs	True	False
Apeh	True	False
Apela	True	False
Apex1	True	False
Apex2	True	False
Aph1a	True	False
Aph1c	True	False
Api5	True	False
Apip	True	False
Aplf	True	False
Apln	True	False
Aplnr	True	False
Aplp1	True	False
Aplp2	True	False
Apmap	True	False
Apoa1	True	False
Apoa2	True	False
Apoa4	True	False
Apoa5	True	False
Apob	True	False
Apobec1	True	False
Apobec2	True	False
Apobec3	True	False
Apobec4	True	False
Apobr	True	False
Apoc1	True	False
Apoc2	True	False
Apoc3	True	False
Apoc4	True	False
Apod	True	False
Apoe	True	False
Apof	True	False
Apoh	True	False
Apol10a	True	False
Apol10b	True	False
Apol11a	True	False
Apol11b	True	False
Apol6	True	False
Apol7a	True	False
Apol7b	True	False
Apol7c	True	False
Apol7e	True	False
Apol8	True	False
Apol9a	True	False
Apold1	True	False
Apom	True	False
Apon	True	False
Apoo	True	False
Apool	True	False
App	True	False
Appbp2	True	False
Appl1	True	False
Appl2	True	False
Aprt	True	False
Aptx	True	False
Aqp1	True	False
Aqp11	True	False
Aqp12	True	False
Aqp2	True	False
Aqp3	True	False
Aqp4	True	False
Aqp5	True	False
Aqp6	True	False
Aqp7	True	False
Aqp8	True	False
Aqp9	True	False
Aqr	True	False
Ar	True	False
Araf	True	False
Arap1	True	False
Arap2	True	False
Arap3	True	False
Arc	True	False
Arcn1	True	False
Areg	True	False
Arel1	True	False
Arf1	True	False
Arf2	True	False
Arf3	True	False
Arf4	True	False
Arf5	True	False
Arf6	True	False
Arfgap1	True	False
Arfgap2	True	False
Arfgap3	True	False
Arfgef1	True	False
Arfgef2	True	False
Arfgef3	True	False
Arfip1	True	False
Arfip2	True	False
Arfrp1	True	False
Arg1	True	False
Arg2	True	False
Arglu1	True	False
Arhgap1	True	False
Arhgap10	True	False
Arhgap11a	True	False
Arhgap12	True	False
Arhgap15	True	False
Arhgap17	True	False
Arhgap18	True	False
Arhgap19	True	False
Arhgap20	True	False
Arhgap21	True	False
Arhgap22	True	False
Arhgap23	True	False
Arhgap24	True	False
Arhgap25	True	False
Arhgap26	True	False
Arhgap27	True	False
Arhgap28	True	False
Arhgap29	True	False
Arhgap30	True	False
Arhgap31	True	False
Arhgap32	True	False
Arhgap33	True	False
Arhgap33os	True	False
Arhgap35	True	False
Arhgap36	True	False
Arhgap39	True	False
Arhgap4	True	False
Arhgap40	True	False
Arhgap42	True	False
Arhgap44	True	False
Arhgap45	True	False
Arhgap5	True	False
Arhgap6	True	False
Arhgap8	True	False
Arhgap9	True	False
Arhgdia	True	False
Arhgdib	True	False
Arhgdig	True	False
Arhgef1	True	False
Arhgef10	True	False
Arhgef10l	True	False
Arhgef11	True	False
Arhgef12	True	False
Arhgef15	True	False
Arhgef16	True	False
Arhgef17	True	False
Arhgef18	True	False
Arhgef19	True	False
Arhgef2	True	False
Arhgef25	True	False
Arhgef26	True	False
Arhgef28	True	False
Arhgef3	True	False
Arhgef33	True	False
Arhgef37	True	False
Arhgef38	True	False
Arhgef39	True	False
Arhgef4	True	False
Arhgef40	True	False
Arhgef5	True	False
Arhgef6	True	False
Arhgef7	True	False
Arhgef9	True	False
Arid1a	True	False
Arid1b	True	False
Arid2	True	False
Arid3a	True	False
Arid3b	True	False
Arid3c	True	False
Arid4a	True	False
Arid4b	True	False
Arid5a	True	False
Arid5b	True	False
Arih1	True	False
Arih2	True	False
Arl1	True	False
Arl10	True	False
Arl11	True	False
Arl13a	True	False
Arl13b	True	False
Arl14	True	False
Arl14ep	True	False
Arl14epl	True	False
Arl15	True	False
Arl16	True	False
Arl2	True	False
Arl2bp	True	False
Arl3	False	False
Arl4a	True	False
Arl4c	True	False
Arl4d	True	False
Arl5a	True	False
Arl5b	True	False
Arl5c	True	False
Arl6	True	False
Arl6ip1	True	False
Arl6ip4	True	False
Arl6ip5	False	True
Arl6ip6	True	False
Arl8a	True	False
Arl8b	True	False
Arl9	True	False
Armc1	True	False
Armc10	True	False
Armc12	True	False
Armc2	True	False
Armc3	True	False
Armc5	True	False
Armc6	True	False
Armc7	True	False
Armc8	True	False
Armc9	True	False
Armcx1	True	False
Armcx2	True	False
Armcx3	True	False
Armcx4	True	False
Armcx5	True	False
Armcx6	True	False
Armh1	True	False
Armh2	True	False
Armh3	True	False
Armh4	True	False
Armt1	True	False
Arnt	True	False
Arnt2	True	False
Arntl	True	False
Arntl2	True	False
Arpc1a	True	False
Arpc1b	True	False
Arpc2	True	False
Arpc3	True	False
Arpc4	True	False
Arpc5	True	False
Arpc5l	True	False
Arpin	True	False
Arpp19	True	False
Arpp21	True	False
Arr3	True	False
Arrb1	True	False
Arrb2	True	False
Arrdc1	True	False
Arrdc2	True	False
Arrdc3	True	False
Arrdc4	True	False
Arrdc5	True	False
Arsa	True	False
Arsb	True	False
Arsg	True	False
Arsi	True	False
Arsj	True	False
Arsk	True	False
Art1	True	False
Art2b	True	False
Art3	True	False
Art4	True	False
Art5	True	False
Artn	True	False
Arv1	True	False
Arvcf	True	False
Arx	True	False
Arxes1	True	False
Arxes2	True	False
As3mt	True	False
Asah1	True	False
Asah2	True	False
Asap1	True	False
Asap2	True	False
Asap3	True	False
Asb1	True	False
Asb10	True	False
Asb11	True	False
Asb12	True	False
Asb13	True	False
Asb14	True	False
Asb15	True	False
Asb16	True	False
Asb17	True	False
Asb18	True	False
Asb2	True	False
Asb3	True	False
Asb4	True	False
Asb5	True	False
Asb6	True	False
Asb7	True	False
Asb8	True	False
Asb9	True	False
Ascc1	True	False
Ascc2	True	False
Ascc3	True	False
Ascl1	True	False
Ascl2	True	False
Ascl3	True	False
Ascl4	True	False
Ascl5	True	False
Asf1a	True	False
Asf1b	True	False
Asgr1	True	False
Asgr2	True	False
Ash1l	True	False
Ash2l	True	False
Asic1	True	False
Asic2	True	False
Asic3	True	False
Asic4	True	False
Asic5	True	False
Asl	True	False
Asmt	True	False
Asns	True	False
Asnsd1	True	False
Aspa	True	False
Aspdh	True	False
Aspg	True	False
Asph	True	False
Asphd1	True	False
Asphd2	True	False
Aspm	True	False
Aspn	True	False
Asprv1	True	False
Aspscr1	True	False
Asrgl1	True	False
Ass1	True	False
Aste1	True	False
Astl	True	False
Astn1	True	False
Astn2	True	False
Asxl1	True	False
Asxl2	True	False
Asxl3	True	False
Asz1	True	False
Atad1	False	False
Atad2	True	False
Atad2b	True	False
Atad3a	True	False
Atad5	True	False
Atat1	True	False
Atcay	True	False
Ate1	True	False
Atf1	True	False
Atf2	True	False
Atf3	True	False
Atf4	True	False
Atf5	True	False
Atf6	True	False
Atf6b	True	False
Atf7	True	False
Atf7ip	True	False
Atf7ip2	True	False
Atg10	True	False
Atg101	True	False
Atg12	True	False
Atg13	True	False
Atg14	True	False
Atg16l1	True	False
Atg16l2	True	False
Atg2a	True	False
Atg2b	True	False
Atg3	True	False
Atg4a-ps	True	False
Atg4b	True	False
Atg4c	True	False
Atg4d	True	False
Atg5	True	False
Atg7	True	False
Atg9a	True	False
Atg9b	True	False
Atic	True	False
Atl1	True	False
Atl2	True	False
Atl3	True	False
Atm	True	False
Atmin	True	False
Atn1	True	False
Atoh1	True	False
Atoh7	True	False
Atoh8	True	False
Atosa	True	False
Atosb	True	False
Atox1	True	False
Atp10a	True	False
Atp10b	True	False
Atp11a	True	False
Atp11b	True	False
Atp11c	True	False
Atp12a	True	False
Atp13a1	True	False
Atp13a2	True	False
Atp13a3	True	False
Atp13a4	True	False
Atp13a5	True	False
Atp1a1	True	False
Atp1a2	True	False
Atp1a3	True	False
Atp1a4	True	False
Atp1b1	True	False
Atp1b2	True	False
Atp1b3	True	False
Atp1b4	True	False
Atp23	True	False
Atp2a1	True	False
Atp2a2	True	False
Atp2a3	True	False
Atp2b1	True	False
Atp2b2	True	False
Atp2b3	True	False
Atp2b4	True	False
Atp2c1	True	False
Atp2c2	True	False
Atp4a	True	False
Atp4b	True	False
Atp5a1	True	False
Atp5b	True	False
Atp5c1	True	False
Atp5d	True	False
Atp5e	True	False
Atp5g1	True	False
Atp5g3	True	False
Atp5j	True	False
Atp5j2	True	False
Atp5k	True	False
Atp5l	True	False
Atp5md	True	False
Atp5mpl	True	False
Atp5o	True	False
Atp5pb	True	False
Atp6ap1	True	False
Atp6ap1l	True	False
Atp6ap2	True	False
Atp6v0a1	True	False
Atp6v0a2	True	False
Atp6v0a4	True	False
Atp6v0b	True	False
Atp6v0c	True	False
Atp6v0d1	True	False
Atp6v0d2	True	False
Atp6v0e	True	False
Atp6v0e2	True	False
Atp6v1a	True	False
Atp6v1b1	True	False
Atp6v1b2	True	False
Atp6v1c1	True	False
Atp6v1c2	True	False
Atp6v1d	True	False
Atp6v1e1	True	False
Atp6v1e2	True	False
Atp6v1f	True	False
Atp6v1fnb	True	False
Atp6v1g1	True	False
Atp6v1g2	True	False
Atp6v1g3	True	False
Atp6v1h	True	False
Atp7a	True	False
Atp7b	True	False
Atp8a1	True	False
Atp8a2	True	False
Atp8b1	True	False
Atp8b2	True	False
Atp8b3	True	False
Atp8b4	True	False
Atp8b5	True	False
Atp9a	True	False
Atp9b	True	False
Atpaf1	True	False
Atpaf2	True	False
Atpif1	True	False
Atpsckmt	True	False
Atr	True	False
Atraid	True	False
Atrip	True	False
Atrn	True	False
Atrnl1	True	False
Atrx	True	False
Atxn1	True	False
Atxn10	True	False
Atxn2	True	False
Atxn2l	True	False
Atxn3	True	False
Atxn7	True	False
Atxn7l1	True	False
Atxn7l2	True	False
Atxn7l3	True	False
Atxn7l3b	True	False
Auh	True	False
Aunip	True	False
Aup1	True	False
Aurka	True	False
Aurkaip1	True	False
Aurkb	True	False
Aurkc	True	False
Auts2	True	False
Aven	True	False
Avil	True	False
Avl9	True	False
Avp	True	False
Avpi1	True	False
Avpr1a	True	False
Avpr1b	True	False
Avpr2	True	False
Awat1	True	False
Awat2	True	False
Axdnd1	True	False
Axin1	True	False
Axin2	True	False
Axl	True	False
Aym1	True	False
Azgp1	True	False
Azi2	True	False
Azin1	True	False
Azin2	True	False
B2m	True	False
B3galnt1	True	False
B3galnt2	True	False
B3galt1	True	False
B3galt2	True	False
B3galt4	True	False
B3galt5	True	False
B3galt6	True	False
B3gat1	True	False
B3gat3	True	False
B3glct	True	False
B3gnt2	True	False
B3gnt3	True	False
B3gnt4	True	False
B3gnt5	True	False
B3gnt6	True	False
B3gnt7	True	False
B3gnt8	True	False
B3gnt9	True	False
B3gntl1	True	False
B4galnt1	True	False
B4galnt2	True	False
B4galnt3	True	False
B4galnt4	True	False
B4galt1	True	False
B4galt2	True	False
B4galt3	True	False
B4galt4	True	False
B4galt5	True	False
B4galt6	True	False
B4galt7	True	False
B4gat1	True	False
B9d1	True	False
B9d2	True	False
BB014433	True	False
BC005537	True	False
BC005624	True	False
BC016579	True	False
BC024063	True	False
BC024139	True	False
BC024978	True	False
BC025920	True	False
BC028528	True	False
BC029722	True	False
BC030500	True	False
