pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-8854518	25	0.01	Up	0.829209616285827	0.930851542886012	primary	fixed_0.01
R-HSA-380259	25	0.01	Up	0.829209616285827	0.930851542886012	primary	fixed_0.01
R-HSA-380284	25	0.01	Up	0.829209616285827	0.930851542886012	primary	fixed_0.01
R-HSA-9696264	16	0.01	Up	0.82934336999589	0.930851542886012	primary	fixed_0.01
R-HSA-3371497	39	0.01	Up	0.830662328494464	0.931119541173248	primary	fixed_0.01
R-HSA-9735869	35	0.01	Up	0.836427919528443	0.936364761861712	primary	fixed_0.01
R-HSA-9604323	36	0.01	Down	0.844599451132749	0.943063348540982	primary	fixed_0.01
R-HSA-211945	15	0.01	Down	0.844599657858049	0.943063348540982	primary	fixed_0.01
R-HSA-1236975	45	0.01	Down	0.846816961482173	0.943815204773417	primary	fixed_0.01
R-HSA-9754678	40	0.01	Up	0.847462840481003	0.943815204773417	primary	fixed_0.01
R-HSA-5610780	36	0.01	Down	0.85213427949852	0.947793224422871	primary	fixed_0.01
R-HSA-180585	35	0.01	Down	0.854304671770304	0.948239597828607	primary	fixed_0.01
R-HSA-5655253	16	0.01	Up	0.854735693170334	0.948239597828607	primary	fixed_0.01
R-HSA-169911	34	0.01	Up	0.859400142958294	0.949575929639079	primary	fixed_0.01
R-HSA-202403	44	0.01	Up	0.859515831669677	0.949575929639079	primary	fixed_0.01
R-HSA-5663084	14	0.01	Up	0.860673544844166	0.949575929639079	primary	fixed_0.01
R-HSA-1236978	33	0.01	Down	0.86118082391025	0.949575929639079	primary	fixed_0.01
R-HSA-69002	40	0.01	Up	0.862185530201913	0.949575929639079	primary	fixed_0.01
R-HSA-8939236	34	0.01	Up	0.863117603778806	0.949575929639079	primary	fixed_0.01
R-HSA-9679191	33	0.01	Down	0.863651425565009	0.949575929639079	primary	fixed_0.01
R-HSA-2672351	10	0.01	Up	0.868001573565157	0.952065524222083	primary	fixed_0.01
R-HSA-8941858	34	0.01	Down	0.868124712341714	0.952065524222083	primary	fixed_0.01
R-HSA-983231	49	0.01	Up	0.875443473857814	0.958566551040084	primary	fixed_0.01
R-HSA-111996	14	0.01	Up	0.876276615103928	0.958566551040084	primary	fixed_0.01
R-HSA-69615	38	0.01	Down	0.879282675586254	0.960285453114281	primary	fixed_0.01
R-HSA-75815	33	0.01	Down	0.880075995313552	0.960285453114281	primary	fixed_0.01
R-HSA-9929491	37	0.01	Down	0.881881412915004	0.961038910155162	primary	fixed_0.01
R-HSA-1799339	98	0.01	Up	0.886131416290385	0.964451112174637	primary	fixed_0.01
R-HSA-9974237	34	0.01	Down	0.888499384563728	0.965808914872551	primary	fixed_0.01
R-HSA-9762114	35	0.01	Down	0.896345413701923	0.970926138082435	primary	fixed_0.01
R-HSA-8948751	38	0.01	Down	0.900573024213199	0.970926138082435	primary	fixed_0.01
R-HSA-5627123	13	0.01	Up	0.901584815553792	0.970926138082435	primary	fixed_0.01
R-HSA-9932298	35	0.01	Down	0.901609417107707	0.970926138082435	primary	fixed_0.01
R-HSA-9696270	17	0.01	Down	0.902149155269369	0.970926138082435	primary	fixed_0.01
R-HSA-1280218	278	0.01	Up	0.902595309612	0.970926138082435	primary	fixed_0.01
R-HSA-174154	34	0.01	Down	0.905240004184145	0.970926138082435	primary	fixed_0.01
R-HSA-174178	34	0.01	Down	0.905240004184145	0.970926138082435	primary	fixed_0.01
R-HSA-174084	34	0.01	Down	0.905240004184145	0.970926138082435	primary	fixed_0.01
R-HSA-69017	34	0.01	Down	0.905240004184145	0.970926138082435	primary	fixed_0.01
R-HSA-9793380	36	0.01	Down	0.908188029977566	0.970926138082435	primary	fixed_0.01
R-HSA-1234176	35	0.01	Down	0.90938451378979	0.970926138082435	primary	fixed_0.01
R-HSA-4641258	33	0.01	Down	0.911018982676048	0.970926138082435	primary	fixed_0.01
R-HSA-5607761	37	0.01	Up	0.911656167203156	0.970926138082435	primary	fixed_0.01
R-HSA-5676590	37	0.01	Up	0.911656167203156	0.970926138082435	primary	fixed_0.01
R-HSA-5668541	37	0.01	Up	0.911656167203156	0.970926138082435	primary	fixed_0.01
R-HSA-156580	23	0.01	Up	0.912355187757277	0.970926138082435	primary	fixed_0.01
R-HSA-4641257	32	0.01	Down	0.913940946120921	0.971414421154419	primary	fixed_0.01
R-HSA-68867	39	0.01	Up	0.919476314053078	0.975421797358786	primary	fixed_0.01
R-HSA-186797	13	0.01	Down	0.919974386604052	0.975421797358786	primary	fixed_0.01
R-HSA-1980143	16	0.01	Down	0.926373784319708	0.980561394787837	primary	fixed_0.01
R-HSA-8854050	34	0.01	Down	0.929371994827915	0.980561394787837	primary	fixed_0.01
R-HSA-187577	34	0.01	Down	0.929371994827915	0.980561394787837	primary	fixed_0.01
R-HSA-174113	34	0.01	Down	0.929371994827915	0.980561394787837	primary	fixed_0.01
R-HSA-376176	153	0.01	Up	0.933691364866864	0.983914372268015	primary	fixed_0.01
R-HSA-195253	43	0.01	Up	0.936020373655886	0.98421436881832	primary	fixed_0.01
R-HSA-445355	14	0.01	Up	0.936259608388657	0.98421436881832	primary	fixed_0.01
R-HSA-69052	38	0.01	Down	0.943430144008189	0.989282910218361	primary	fixed_0.01
R-HSA-9696273	17	0.01	Down	0.945191080465896	0.989282910218361	primary	fixed_0.01
R-HSA-1236974	42	0.01	Down	0.946213384498733	0.989282910218361	primary	fixed_0.01
R-HSA-2871837	37	0.01	Down	0.94849180623862	0.989282910218361	primary	fixed_0.01
R-HSA-453279	46	0.01	Up	0.94875014819401	0.989282910218361	primary	fixed_0.01
R-HSA-9013407	17	0.01	Down	0.949269657960711	0.989282910218361	primary	fixed_0.01
R-HSA-5578749	10	0.01	Down	0.949375012279136	0.989282910218361	primary	fixed_0.01
R-HSA-68949	36	0.01	Down	0.95296521126375	0.989282910218361	primary	fixed_0.01
R-HSA-180534	33	0.01	Down	0.955466837082925	0.989282910218361	primary	fixed_0.01
R-HSA-73887	25	0.01	Up	0.955626609163441	0.989282910218361	primary	fixed_0.01
R-HSA-176409	35	0.01	Down	0.957148430536094	0.989282910218361	primary	fixed_0.01
R-HSA-179419	35	0.01	Down	0.957148430536094	0.989282910218361	primary	fixed_0.01
R-HSA-176814	35	0.01	Down	0.957148430536094	0.989282910218361	primary	fixed_0.01
R-HSA-174184	35	0.01	Down	0.957148430536094	0.989282910218361	primary	fixed_0.01
R-HSA-204998	16	0.01	Up	0.961811389386457	0.991440442725741	primary	fixed_0.01
R-HSA-5654741	11	0.01	Down	0.962686369560841	0.991440442725741	primary	fixed_0.01
R-HSA-5654743	11	0.01	Down	0.962686369560841	0.991440442725741	primary	fixed_0.01
R-HSA-264876	16	0.01	Down	0.964087192118425	0.991698281152842	primary	fixed_0.01
R-HSA-5654736	12	0.01	Up	0.96576719907496	0.992242342792152	primary	fixed_0.01
R-HSA-174143	37	0.01	Down	0.970300462459051	0.993347979382068	primary	fixed_0.01
R-HSA-176408	37	0.01	Down	0.970300462459051	0.993347979382068	primary	fixed_0.01
R-HSA-453276	37	0.01	Down	0.970300462459051	0.993347979382068	primary	fixed_0.01
R-HSA-70263	14	0.01	Down	0.972818956078836	0.994337977859695	primary	fixed_0.01
R-HSA-9700645	10	0.01	Down	0.974688465120216	0.994337977859695	primary	fixed_0.01
R-HSA-9920588	11	0.01	Down	0.975146152337874	0.994337977859695	primary	fixed_0.01
R-HSA-8939902	36	0.01	Up	0.975881588479469	0.994337977859695	primary	fixed_0.01
R-HSA-211733	33	0.01	Up	0.980044529419621	0.997400689917017	primary	fixed_0.01
R-HSA-2151201	20	0.01	Up	0.982089687381562	0.998303432220409	primary	fixed_0.01
R-HSA-211859	39	0.01	Up	0.985447902229818	0.998510903146219	primary	fixed_0.01
R-HSA-983189	22	0.01	Down	0.986065579480748	0.998510903146219	primary	fixed_0.01
R-HSA-1234174	36	0.01	Up	0.987908683040344	0.998510903146219	primary	fixed_0.01
R-HSA-9979719	43	0.01	Down	0.990141383216756	0.998510903146219	primary	fixed_0.01
R-HSA-5619115	63	0.01	Up	0.990452315341732	0.998510903146219	primary	fixed_0.01
R-HSA-9614085	14	0.01	Up	0.992802530487742	0.998510903146219	primary	fixed_0.01
R-HSA-193648	12	0.01	Down	0.993946988602724	0.998510903146219	primary	fixed_0.01
R-HSA-9929356	36	0.01	Up	0.994791866258447	0.998510903146219	primary	fixed_0.01
R-HSA-202424	38	0.01	Up	0.997279447990708	0.998510903146219	primary	fixed_0.01
R-HSA-186763	10	0.01	Down	0.997502408986349	0.998510903146219	primary	fixed_0.01
R-HSA-349425	33	0.01	Up	0.998510903146219	0.998510903146219	primary	fixed_0.01
R-HSA-69541	33	0.01	Up	0.998510903146219	0.998510903146219	primary	fixed_0.01
R-HSA-69563	33	0.01	Up	0.998510903146219	0.998510903146219	primary	fixed_0.01
R-HSA-69580	33	0.01	Up	0.998510903146219	0.998510903146219	primary	fixed_0.01
