guide	pseudo
Non_target_289	40
Non_target_172	40
Non_target_8	40
Non_target_331	41
Non_target_334	41
Non_target_219	41
Non_target_283	41
Non_target_86	42
Non_target_264	42
Non_target_362	42
Non_target_136	42
Non_target_89	43
Non_target_133	43
Non_target_286	43
Non_target_183	43
Non_target_61	44
Non_target_13	44
Non_target_321	44
Non_target_69	44
Non_target_398	45
Non_target_171	45
Non_target_56	45
Non_target_26	45
Non_target_187	46
Non_target_87	46
Non_target_336	46
Non_target_392	46
Non_target_292	47
Non_target_275	47
Non_target_200	47
Non_target_2	47
Non_target_337	48
Non_target_310	48
Non_target_204	48
Non_target_112	48
Non_target_309	49
Non_target_105	49
Non_target_58	49
Non_target_243	49
Non_target_226	50
Non_target_190	50
Non_target_185	50
Non_target_308	50
Non_target_356	51
Non_target_78	51
Non_target_378	51
Non_target_162	51
Non_target_168	52
Non_target_324	52
Non_target_37	52
Non_target_210	52
Non_target_129	53
Non_target_400	53
Non_target_44	53
Non_target_6	53
Non_target_340	54
Non_target_125	54
Non_target_170	54
Non_target_311	54
Non_target_375	55
Non_target_72	55
Non_target_181	55
Non_target_1	55
Non_target_285	56
Non_target_352	56
Non_target_381	56
Non_target_235	56
Non_target_369	57
Non_target_167	57
Non_target_335	57
Non_target_237	57
Non_target_304	58
Non_target_104	58
Non_target_98	58
Non_target_106	58
Non_target_254	59
Non_target_339	59
Non_target_46	59
Non_target_363	59
Non_target_267	60
Non_target_287	60
Non_target_252	60
Non_target_389	60
Non_target_307	61
Non_target_32	61
Non_target_85	61
Non_target_359	61
Non_target_231	62
Non_target_347	62
Non_target_314	62
Non_target_73	62
Non_target_255	63
Non_target_242	63
Non_target_353	63
Non_target_113	63
Non_target_60	64
Non_target_11	64
Non_target_241	64
Non_target_277	64
Non_target_328	65
Non_target_205	65
Non_target_153	65
Non_target_166	65
Non_target_79	66
Non_target_142	66
Non_target_130	66
Non_target_312	66
Non_target_4	67
Non_target_54	67
Non_target_160	67
Non_target_303	67
Non_target_247	68
Non_target_269	68
Non_target_262	68
Non_target_288	68
Non_target_227	69
Non_target_195	69
Non_target_358	69
Non_target_229	69
Non_target_114	70
Non_target_80	70
Non_target_299	70
Non_target_377	70
Non_target_232	71
Non_target_49	71
Non_target_384	71
Non_target_250	71
Non_target_177	72
Non_target_202	72
Non_target_383	72
Non_target_206	72
Non_target_21	73
Non_target_193	73
Non_target_16	73
Non_target_180	73
Non_target_149	74
Non_target_360	74
Non_target_313	74
Non_target_233	74
Non_target_198	75
Non_target_20	75
Non_target_306	75
Non_target_345	75
Non_target_111	76
Non_target_197	76
Non_target_141	76
Non_target_131	76
Non_target_317	77
Non_target_382	77
Non_target_22	77
Non_target_320	77
Non_target_397	78
Non_target_343	78
Non_target_373	78
Non_target_387	78
Non_target_75	79
Non_target_151	79
Non_target_39	79
Non_target_156	79
Non_target_34	80
Non_target_110	80
Non_target_36	80
Non_target_124	80
Non_target_144	81
Non_target_246	81
Non_target_18	81
Non_target_64	81
Non_target_394	82
Non_target_47	82
Non_target_338	82
Non_target_376	82
Non_target_224	83
Non_target_3	83
Non_target_123	83
Non_target_27	83
Non_target_322	84
Non_target_179	84
Non_target_5	84
Non_target_257	84
Non_target_371	85
Non_target_391	85
Non_target_209	85
Non_target_282	85
Non_target_128	86
Non_target_155	86
Non_target_386	86
Non_target_212	86
Non_target_147	87
Non_target_351	87
Non_target_116	87
Non_target_42	87
Non_target_164	88
Non_target_9	88
Non_target_342	88
Non_target_300	88
Non_target_169	89
Non_target_271	89
Non_target_68	89
Non_target_173	89
Non_target_192	90
Non_target_137	90
Non_target_272	90
Non_target_145	90
Non_target_258	91
Non_target_121	91
Non_target_25	91
Non_target_326	91
Non_target_325	92
Non_target_230	92
Non_target_66	92
Non_target_388	92
Non_target_152	93
Non_target_213	93
Non_target_372	93
Non_target_374	93
Non_target_23	94
Non_target_244	94
Non_target_395	94
Non_target_305	94
Non_target_348	95
Non_target_248	95
Non_target_109	95
Non_target_215	95
Non_target_19	96
Non_target_55	96
Non_target_238	96
Non_target_251	96
Non_target_223	97
Non_target_239	97
Non_target_294	97
Non_target_100	97
Non_target_154	98
Non_target_366	98
Non_target_355	98
Non_target_24	98
